run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,canonical_item,item_cat,item_type,congruency,integrated_stimulus,recalled_stimulus,key_resp_remember.keys,key_resp_context.keys,key_resp_context.corr,key_resp_context.rt,key_resp_context.duration,key_resp_context_conf.keys,key_resp_context_conf.rt,key_resp_context_conf.duration,key_resp_scenes.keys,key_resp_scenes.corr,key_resp_scene_conf.keys,key_resp_scene_conf.corr,key_resp_scene_conf.rt,key_resp_scene_conf.duration,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,subs_rand_vars.started,subs_rand_vars.stopped,set_instructions.started,set_instructions.stopped,ret_inst_scr.started,text_instructions.started,key_resp_start.started,ret_inst_scr.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,ret_inst2.started,text_instructions_2.started,key_resp_start_2.started,ret_inst2.stopped,key_resp_start_2.keys,key_resp_start_2.rt,key_resp_start_2.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank3000_2.started,text_3.started,text_3.stopped,blank3000_2.stopped,create_runs_stim_div.started,create_runs_stim_div.stopped,set_rows.started,set_rows.stopped,item_imagine_scene.started,item_cue.started,item_imagine_scene.stopped,trials.key_resp_remember.keys,blank1000.started,blank1000.stopped,select_context.started,text_context_headline.started,text_sea.started,text_jungle.started,key_resp_context.started,select_context.stopped,trials.key_resp_context.keys,trials.key_resp_context.corr,trials.key_resp_context.rt,trials.key_resp_context.duration,blank500.started,text_blank.started,text_blank.stopped,blank500.stopped,context_confidence.started,slider_context_conf.started,key_resp_context_conf.started,text_context_choice.started,context_confidence.stopped,trials.key_resp_context_conf.keys,trials.key_resp_context_conf.rt,trials.key_resp_context_conf.duration,select_scene_name.started,text_scene_headline.started,text_actual_context.started,text_q_scene.started,text_labels.started,text_scene_headline.stopped,text_actual_context.stopped,text_q_scene.stopped,text_labels.stopped,select_scene_name.stopped,trials.key_resp_scenes.keys,trials.key_resp_scenes.corr,scene_confidence.started,text_chosen_scene.started,slider_scene_conf.started,key_resp_scene_conf.started,scene_confidence.stopped,trials.key_resp_scene_conf.keys,trials.key_resp_scene_conf.corr,trials.key_resp_scene_conf.rt,trials.key_resp_scene_conf.duration,blank3000.started,blank3000.stopped,participant,session,delay,group,mode,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07115108298603445,0.0716514170053415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07167279202258214,0.07184504199540243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07185675000073388,0.0788702080026269,0.0788702080026269,8.50038450001739,space,8.356802958005574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.50043158303015,8.50512670801254,8.50512670801254,9.674683667020872,space,1.165472041000612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.835099124989938,9.849163874983788,9.849163874983788,9.849163874983788,9.849163874983788,9.849163874983788,9.849163874983788,9.849163874983788,9.849163874983788,9.849163874983788,11.672650874999817,13.306714333011769,space,1.6262106249923818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.306755541998427,13.312801124993712,17.677390333032236,16.295486000017263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.296606625022832,16.29679741698783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
0,0,0,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/jungle_object_2.png,Jungle,object,si,stimuli/integrated/ocean_b_jungle_object_2.jpg,stimuli/recalled/recalled_ocean_b_jungle_object_2.jpg,None,2,0,0.7259753340040334,None,3,1.288212040963117,None,None,0,2,0,0.44650995801202953,None,0,0,0,0,0,0,0,0,17.677390333032236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.306939792004414,16.307160999975167,17.66563720803242,17.677390333032236,20.312167458003387,None,23.863553082977887,24.85700449999422,21.318166957993526,21.325307207996957,21.325307207996957,21.325307207996957,0.011034500028472394,22.04633670800831,2,0,0.7259753340040334,None,27.357123291993048,27.362270749988966,27.862312750017736,27.84659783297684,22.543710792029742,22.573284749989398,22.573284749989398,22.622834166977555,23.863507667032536,3,1.288212040963117,None,24.860626042005606,24.865923167031724,24.865923167031724,24.865923167031724,24.865923167031724,27.362270749988966,27.362270749988966,27.362270749988966,27.362270749988966,27.357058499997947,None,0,27.850782249995973,27.862312750017736,27.862312750017736,27.862312750017736,28.3136540420237,2,0,0.44650995801202953,None,28.313711541995872,31.306906917016022,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
0,1,1,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/undersea_object_20.png,Undersea,object,sc,stimuli/integrated/ocean_b_undersea_object_20.jpg,stimuli/recalled/recalled_ocean_b_undersea_object_20.jpg,None,1,1,0.3816699590533972,None,2,0.7233614169526845,None,None,0,1,1,0.3962449170066975,None,0,0,0,0,0,1,1,1,33.2786112499889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.262576500012074,33.2786112499889,35.323772167030256,None,37.957047750009224,38.94650999997975,36.311986042011995,36.323420082975645,36.323420082975645,36.323420082975645,0.009768999996595085,36.70799124997575,1,1,0.3816699590533972,None,41.44073229201604,41.44531016697874,41.93982249998953,41.92927449999843,37.1979860420106,37.22313833300723,37.22313833300723,37.28004195803078,37.95700116700027,2,0.7233614169526845,None,38.9468871250283,38.956858791993,38.956858791993,38.956858791993,38.956858791993,41.44531016697874,41.44531016697874,41.44531016697874,41.44531016697874,41.44067758298479,None,0,41.93014370801393,41.94748124998296,41.94748124998296,41.94748124998296,42.34656887501478,1,1,0.3962449170066975,None,42.34661941701779,45.3404826670303,330,001,,,behavioral,2026-05-27_13h24.41.656,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h24.42.188108 -0400,
,2,2,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/undersea_animal_10.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_10.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_10.jpg,,,,,,,,,,,,,,,,,,,0,2,2,2,46.51067483302904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.41476833302295,46.51067483302904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
