run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,canonical_item,item_cat,item_type,congruency,integrated_stimulus,recalled_stimulus,key_resp_remember.keys,key_resp_context.keys,key_resp_context.corr,key_resp_context.rt,key_resp_context.duration,key_resp_context_conf.keys,key_resp_context_conf.rt,key_resp_context_conf.duration,key_resp_scenes.keys,key_resp_scenes.corr,key_resp_scene_conf.keys,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,subs_rand_vars.started,subs_rand_vars.stopped,set_instructions.started,set_instructions.stopped,ret_inst_scr.started,text_instructions.started,key_resp_start.started,ret_inst_scr.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,ret_inst2.started,text_instructions_2.started,key_resp_start_2.started,ret_inst2.stopped,key_resp_start_2.keys,key_resp_start_2.rt,key_resp_start_2.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank3000_2.started,text_3.started,text_3.stopped,blank3000_2.stopped,create_runs_stim_div.started,create_runs_stim_div.stopped,set_rows.started,set_rows.stopped,item_imagine_scene.started,item_cue.started,item_imagine_scene.stopped,trials.key_resp_remember.keys,blank1000.started,blank1000.stopped,select_context.started,text_context_headline.started,text_sea.started,text_jungle.started,key_resp_context.started,select_context.stopped,trials.key_resp_context.keys,trials.key_resp_context.corr,trials.key_resp_context.rt,trials.key_resp_context.duration,blank500.started,text_blank.started,text_blank.stopped,blank500.stopped,context_confidence.started,slider_context_conf.started,key_resp_context_conf.started,text_context_choice.started,context_confidence.stopped,trials.key_resp_context_conf.keys,trials.key_resp_context_conf.rt,trials.key_resp_context_conf.duration,select_scene_name.started,text_scene_headline.started,text_actual_context.started,text_q_scene.started,text_labels.started,text_scene_headline.stopped,text_actual_context.stopped,text_q_scene.stopped,text_labels.stopped,select_scene_name.stopped,trials.key_resp_scenes.keys,trials.key_resp_scenes.corr,scene_confidence.started,text_chosen_scene.started,slider_scene_conf.started,key_resp_scene_conf.started,text_chosen_scene.stopped,slider_scene_conf.stopped,key_resp_scene_conf.stopped,scene_confidence.stopped,trials.key_resp_scene_conf.keys,blank3000.started,blank3000.stopped,participant,session,delay,group,mode,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11871129099745303,0.11930004099849612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11931812501279637,0.11950233299285173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11952158302301541,0.3115407910081558,0.3115407910081558,1.9333502909867093,space,1.524037583032623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9333980830269866,1.940514040994458,1.940514040994458,3.294214458030183,space,1.34789458301384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4786337499972433,3.511297708027996,3.511297708027996,3.511297708027996,3.511297708027996,3.511297708027996,3.511297708027996,3.511297708027996,3.511297708027996,3.511297708027996,5.292793166008778,7.5015042499871925,space,2.2027451249887235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.501553957990836,7.509425291034859,12.651801541040186,10.494668291008566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.507722333015408,10.508069708012044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
0,0,0,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/jungle_animal_2.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_2.jpg,stimuli/recalled/recalled_jungle_a_jungle_animal_2.jpg,None,2,1,1.1260549589642324,None,1,1.129014250007458,None,None,0,None,0,0,0,0,0,0,0,0,12.651801541040186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.578944583015982,10.57920420798473,12.641661083034705,12.651801541040186,14.583289000031073,None,18.41058308299398,19.399544332991354,15.603740666003432,15.610928374982905,15.610928374982905,15.610928374982905,0.024586540996097028,16.734020665986463,2,1,1.1260549589642324,None,21.910561833006795,21.913958750024904,22.42588491603965,22.399379207985476,17.237522541021463,17.272801249986514,17.272801249986514,17.30952912499197,18.41053125000326,1,1.129014250007458,None,19.40990020800382,19.417298374988604,19.417298374988604,19.417298374988604,19.417298374988604,21.913958750024904,21.913958750024904,21.913958750024904,21.913958750024904,21.910462541040033,None,0,22.40640145802172,22.42588491603965,22.42588491603965,22.42588491603965,24.41387129103532,24.41387129103532,24.41387129103532,24.410080291039776,None,24.41012412501732,27.4000085000298,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
0,1,1,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/jungle_animal_1.png,Jungle,animal,si,stimuli/integrated/ocean_b_jungle_animal_1.jpg,stimuli/recalled/recalled_ocean_b_jungle_animal_1.jpg,None,2,1,0.7933893749723211,None,2,0.9300122080021538,None,None,0,None,0,0,0,0,0,1,1,1,28.43738887499785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.432970916037448,28.43738887499785,31.414485040993895,None,34.64377195801353,35.63323470798787,32.41271141602192,32.42190970800584,32.42190970800584,32.42190970800584,0.002189040998928249,33.21124804101419,2,1,0.7933893749723211,None,38.13200854102615,38.14373908302514,38.635454208008014,38.62694970803568,33.699051333009265,33.709221875004005,33.709221875004005,33.7830360000371,34.64372049999656,2,0.9300122080021538,None,35.640714708017185,35.64899412501836,35.64899412501836,35.64899412501836,35.64899412501836,38.14373908302514,38.14373908302514,38.14373908302514,38.14373908302514,38.13192783301929,None,0,38.628022040997166,38.635454208008014,38.635454208008014,38.635454208008014,40.630115624982864,40.630115624982864,40.630115624982864,40.62677233299473,None,40.62681520800106,43.62727308302419,330,001,,,behavioral,2026-05-27_11h47.05.529,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 11h47.06.106211 -0400,
,2,2,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/undersea_animal_11.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_11.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_11.jpg,,,,,,,,,,,,,,,,0,2,2,2,45.320748041034676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3000250000041,45.320748041034676,47.64391924999654,None,50.193746916018426,51.18382729100995,48.64507125003729,48.65206841600593,48.65206841600593,48.65206841600593,0.0013506660470739007,49.01163987501059,2,1,0.36290925001958385,None,49.01175083301496,49.015212708036415,49.51544033299433,49.4989400000195,49.50094550003996,49.51544033299433,49.51544033299433,49.58295462501701,50.193695791007485,2,0.670747832977213,None,51.19384587503737,51.20074995799223,51.20074995799223,51.20074995799223,51.20074995799223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
