run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,canonical_item,item_cat,item_type,congruency,integrated_stimulus,recalled_stimulus,key_resp_remember.keys,key_resp_context.keys,key_resp_context.corr,key_resp_context.rt,key_resp_context.duration,key_resp_context_conf.keys,key_resp_context_conf.rt,key_resp_context_conf.duration,key_resp_scenes.keys,key_resp_scenes.corr,key_resp_scenes.rt,key_resp_scenes.duration,key_resp_scene_conf.keys,key_resp_scene_conf.rt,key_resp_scene_conf.duration,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,show_rest_screen.thisRepN,show_rest_screen.thisTrialN,show_rest_screen.thisN,show_rest_screen.thisIndex,thisRow.t,notes,subs_rand_vars.started,subs_rand_vars.stopped,set_instructions.started,set_instructions.stopped,ret_inst_scr.started,text_instructions.started,key_resp_start.started,ret_inst_scr.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,ret_inst2.started,text_instructions_2.started,key_resp_start_2.started,ret_inst2.stopped,key_resp_start_2.keys,key_resp_start_2.rt,key_resp_start_2.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank3000_2.started,text_3.started,text_3.stopped,blank3000_2.stopped,create_runs_stim_div.started,create_runs_stim_div.stopped,set_rows.started,set_rows.stopped,item_imagine_scene.started,item_cue.started,item_imagine_scene.stopped,trials.key_resp_remember.keys,blank1000.started,blank1000.stopped,select_context.started,text_context_headline.started,text_sea.started,text_jungle.started,key_resp_context.started,select_context.stopped,trials.key_resp_context.keys,trials.key_resp_context.corr,trials.key_resp_context.rt,trials.key_resp_context.duration,blank500.started,text_blank.started,text_blank.stopped,blank500.stopped,context_confidence.started,slider_context_conf.started,key_resp_context_conf.started,text_context_choice.started,context_confidence.stopped,trials.key_resp_context_conf.keys,trials.key_resp_context_conf.rt,trials.key_resp_context_conf.duration,select_scene_name.started,text_scene_headline.started,text_actual_context.started,text_q_scene.started,text_labels.started,select_scene_name.stopped,trials.key_resp_scenes.keys,trials.key_resp_scenes.corr,trials.key_resp_scenes.rt,trials.key_resp_scenes.duration,scene_confidence.started,text_chosen_scene.started,slider_scene_conf.started,key_resp_scene_conf.started,scene_confidence.stopped,trials.key_resp_scene_conf.keys,trials.key_resp_scene_conf.rt,trials.key_resp_scene_conf.duration,blank3000.started,blank3000.stopped,is_last.started,is_last.stopped,rest_between_runs.started,text_run_rest.started,key_resp_run_rest.started,rest_between_runs.stopped,show_rest_screen.key_resp_run_rest.keys,show_rest_screen.key_resp_run_rest.rt,show_rest_screen.key_resp_run_rest.duration,text_context_headline.stopped,text_sea.stopped,text_jungle.stopped,key_resp_context.stopped,slider_context_conf.stopped,key_resp_context_conf.stopped,text_context_choice.stopped,text_scene_headline.stopped,text_actual_context.stopped,text_q_scene.stopped,text_labels.stopped,text_chosen_scene.stopped,slider_scene_conf.stopped,key_resp_scene_conf.stopped,item_cue.stopped,participant,session,delay,group,mode,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05154558294452727,0.05200895795132965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05202883295714855,0.05217049992643297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05218179093208164,0.05986016592942178,0.05986016592942178,1.0038880408974364,space,0.8696576249785721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0039454579818994,1.0090911249862984,1.0090911249862984,2.3030403329757974,space,1.2825007499195635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4764356249943376,2.4906255409587175,2.4906255409587175,2.4906255409587175,2.4906255409587175,2.4906255409587175,2.4906255409587175,2.4906255409587175,2.4906255409587175,2.4906255409587175,4.300357457948849,5.70106799993664,space,1.3980662500252947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.701094499905594,5.707297249929979,11.001407999894582,8.689983915886842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.691657374962233,8.691882040933706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
0,0,0,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/undersea_animal_14.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_14.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_14.jpg,None,1,0,0.4613139999564737,None,3,0.9861563749145716,None,2,1,1.165979375015013,None,3,0.7484179169405252,None,0,0,0,0,0,0,0,0,,,,,11.001407999894582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.701612749951892,8.701805249904282,10.978942332905717,11.001407999894582,12.706974332919344,None,15.684670790913515,16.673032832914032,13.710255082929507,13.71736474998761,13.71736474998761,13.71736474998761,0.008491292013786733,14.173808999941684,1,0,0.4613139999564737,None,17.85834120796062,17.866919332998805,18.36484458297491,18.35137304093223,14.670787832932547,14.696407665964216,14.696407665964216,14.750153624918312,15.684629499912262,3,0.9861563749145716,None,16.679473332944326,16.68941424996592,16.68941424996592,16.68941424996592,16.68941424996592,17.858275957987644,2,1,1.165979375015013,None,18.353636124986224,18.36484458297491,18.36484458297491,18.36484458297491,19.11797449993901,3,0.7484179169405252,None,19.118024999974295,22.107603665906936,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
0,1,1,0,stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_3.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_3.jpg,stimuli/recalled/recalled_jungle_b_undersea_animal_3.jpg,None,2,0,1.9193420839728788,None,1,1.1640279589919373,None,2,0,1.7740770829841495,None,1,1.411879250081256,None,0,0,0,0,0,1,1,1,,,,,23.114565249998122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.109567540930584,23.114565249998122,26.12298312492203,None,30.717931665945798,31.706066290964372,27.11884679098148,27.124831957975402,27.124831957975402,27.124831957975402,0.0008595000253990293,29.040625041001476,2,0,1.9193420839728788,None,33.50231479096692,33.50820554094389,34.01269116590265,34.00325824995525,29.537917582900263,29.547104624914937,29.547104624914937,29.616824165917933,30.717887624981813,1,1.1640279589919373,None,31.706555374898016,31.717802790924907,31.717802790924907,31.717802790924907,31.717802790924907,33.50224833295215,2,0,1.7740770829841495,None,34.00449870794546,34.01269116590265,34.01269116590265,34.01269116590265,35.43454624991864,1,1.411879250081256,None,35.434622457949445,38.422483790898696,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
0,2,2,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/jungle_object_16.png,Jungle,object,sc,stimuli/integrated/jungle_a_jungle_object_16.jpg,stimuli/recalled/recalled_jungle_a_jungle_object_16.jpg,None,2,1,1.2037613750435412,None,2,1.0422647499945015,None,1,0,1.099802166922018,None,2,1.1353868750156835,None,0,0,0,0,0,2,2,2,,,,,40.1058922909433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.09127524995711,40.1058922909433,42.43946570798289,None,46.190573249943554,47.18454112496693,43.435560790938325,43.44090020796284,43.44090020796284,43.44090020796284,0.0009774999925866723,44.642420457908884,2,1,1.2037613750435412,None,48.30203554092441,48.307331749936566,48.80623654089868,48.78992908296641,45.13574537495151,45.145095165935345,45.145095165935345,45.216699165990576,46.190521749900654,2,1.0422647499945015,None,47.185147832962684,47.190937165985815,47.190937165985815,47.190937165985815,47.190937165985815,48.30197641591076,1,0,1.099802166922018,None,48.79591162491124,48.80623654089868,48.80623654089868,48.80623654089868,49.951138332951814,2,1.1353868750156835,None,49.95120012492407,52.93987345788628,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_13h34.57.709,SBL_retrieval_MEG,,2025.2.4,None,2026-05-27 13h34.58.190618 -0400,
